,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,churn
10543,163275,Male,Loyal Customer,20,Personal Travel,Eco,621,1,4,1,2,5,1,5,5,4,5,5,3,5,5,0,0.0,dissatisfied,Churn
89114,150692,Male,Loyal Customer,68,Personal Travel,Business,337,1,4,3,3,4,3,3,2,2,3,2,1,2,3,0,0.0,dissatisfied,Not Churn
17689,135991,Male,Loyal Customer,19,Personal Travel,Eco,587,2,4,2,3,4,2,4,4,4,2,4,4,5,4,33,39.0,dissatisfied,Not Churn
51004,57265,Female,Loyal Customer,45,Personal Travel,Eco,106,2,5,2,3,5,5,4,5,5,2,5,4,5,3,5,0.0,dissatisfied,Not Churn
91830,145365,Male,Loyal Customer,39,Personal Travel,Eco,793,3,4,3,3,2,3,2,2,4,5,4,5,5,2,17,6.0,dissatisfied,Churn
20428,119221,Female,Loyal Customer,44,Business travel,Eco,727,2,1,1,1,4,3,3,2,2,2,2,3,2,4,0,0.0,dissatisfied,Churn
44591,77405,Male,Loyal Customer,30,Personal Travel,Business,788,2,4,2,4,3,2,3,3,5,5,4,4,4,3,0,0.0,dissatisfied,Churn
38129,36347,Male,Loyal Customer,34,Personal Travel,Eco,213,3,4,3,3,4,3,4,4,1,3,3,3,4,4,0,0.0,dissatisfied,Churn
101838,94332,Male,disloyal Customer,8,Business travel,Eco,925,1,1,1,4,3,1,3,3,2,2,4,4,3,3,9,4.0,dissatisfied,Not Churn
82627,92844,Female,Loyal Customer,31,Personal Travel,Eco,997,3,4,3,3,5,3,4,5,4,1,3,4,4,5,0,0.0,dissatisfied,Churn
472,145181,Male,Loyal Customer,45,Business travel,Business,3692,2,2,2,2,1,2,2,2,2,2,2,3,2,4,63,52.0,dissatisfied,Churn
77816,79280,Female,Loyal Customer,69,Personal Travel,Eco Plus,192,1,5,1,1,4,1,2,3,3,1,3,2,3,3,0,0.0,dissatisfied,Churn
17817,65039,Male,disloyal Customer,27,Business travel,Eco,1050,2,2,2,4,5,2,5,5,1,4,1,5,2,5,0,0.0,dissatisfied,Churn
96650,90533,Female,Loyal Customer,61,Business travel,Eco,305,2,4,4,4,1,4,4,2,2,2,2,4,2,3,7,0.0,dissatisfied,Not Churn
82771,140310,Male,Loyal Customer,17,Personal Travel,Eco,349,3,4,3,4,3,3,3,3,3,3,3,1,4,3,0,0.0,dissatisfied,Churn
5534,91214,Female,Loyal Customer,38,Business travel,Business,1609,3,3,3,3,5,2,3,3,3,4,3,1,3,2,0,0.0,dissatisfied,Not Churn
52418,155794,Female,Loyal Customer,76,Business travel,Eco,107,2,5,5,5,2,3,3,2,2,2,2,4,2,2,0,0.0,dissatisfied,Churn
86150,101061,Female,Loyal Customer,31,Business travel,Eco,190,2,2,2,2,2,2,2,2,1,1,3,1,4,2,2,0.0,dissatisfied,Not Churn
26449,153896,Female,Loyal Customer,52,Business travel,Eco,1670,2,2,2,2,1,3,4,2,2,2,2,2,2,4,0,0.0,dissatisfied,Churn
39484,56437,Male,Loyal Customer,33,Personal Travel,Eco Plus,346,1,5,1,1,5,1,5,5,3,2,4,3,4,5,0,0.0,dissatisfied,Churn
75495,55004,Male,Loyal Customer,53,Business travel,Eco,503,3,3,5,5,3,3,3,3,1,5,3,2,3,3,30,22.0,dissatisfied,Churn
45653,105107,Male,Loyal Customer,53,Personal Travel,Eco,700,4,5,4,1,4,4,2,4,4,4,4,1,5,4,0,0.0,dissatisfied,Churn
63504,116845,Female,disloyal Customer,24,Business travel,Eco,920,3,3,3,3,3,3,3,3,2,3,4,2,4,3,0,0.0,dissatisfied,Churn
65972,153629,Female,disloyal Customer,27,Business travel,Eco,507,1,0,0,5,5,0,5,5,3,1,4,3,3,5,36,28.0,dissatisfied,Not Churn
33893,143439,Female,Loyal Customer,69,Personal Travel,Eco,307,4,4,4,2,1,5,4,5,5,4,5,4,5,3,0,0.0,dissatisfied,Churn
3562,36462,Male,Loyal Customer,46,Business travel,Business,3293,2,4,4,4,2,4,3,2,2,2,2,1,2,3,0,5.0,dissatisfied,Churn
75860,114564,Female,Loyal Customer,52,Personal Travel,Business,666,4,4,4,4,2,3,3,4,4,4,4,5,4,3,0,10.0,dissatisfied,Churn
74995,55397,Female,Loyal Customer,49,Personal Travel,Eco,802,3,3,3,3,3,5,4,3,3,3,4,4,3,3,0,0.0,dissatisfied,Churn
66740,148292,Female,Loyal Customer,25,Business travel,Business,895,1,3,1,1,1,1,1,1,3,4,4,4,3,1,38,34.0,dissatisfied,Not Churn
78070,150441,Female,Loyal Customer,10,Personal Travel,Eco,957,3,5,3,3,3,3,3,3,5,5,4,5,4,3,0,0.0,dissatisfied,Churn
49244,157958,Female,disloyal Customer,23,Business travel,Eco,366,1,0,1,3,4,1,4,4,2,4,4,3,4,4,0,0.0,dissatisfied,Churn
50459,51264,Male,Loyal Customer,25,Business travel,Business,912,3,1,1,1,3,3,3,3,1,4,3,1,3,3,33,44.0,dissatisfied,Churn
39742,72806,Male,Loyal Customer,13,Personal Travel,Eco,1237,3,3,3,4,1,3,1,1,1,4,2,2,4,1,0,16.0,dissatisfied,Churn
77934,62688,Female,disloyal Customer,27,Business travel,Business,515,3,3,3,2,2,3,2,2,5,3,4,3,5,2,68,61.0,dissatisfied,Not Churn
10451,47881,Female,disloyal Customer,21,Business travel,Eco,429,1,2,1,3,1,1,5,1,2,4,3,2,4,1,92,96.0,dissatisfied,Churn
