,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,conversion
47648,115470,Female,Loyal Customer,48,Business travel,Business,456,1,1,1,1,4,2,2,5,5,5,5,2,5,1,0,0.0,satisfied,Not Converted
97506,172795,Female,disloyal Customer,20,Business travel,Business,486,5,0,5,1,2,5,2,2,5,4,4,4,4,2,0,0.0,satisfied,Converted
25600,138789,Male,Loyal Customer,60,Business travel,Business,1902,2,2,2,2,2,5,5,4,4,4,4,5,4,5,52,49.0,satisfied,Converted
61747,172039,Female,Loyal Customer,56,Business travel,Business,2509,3,3,3,3,4,5,5,3,3,4,3,4,3,5,27,36.0,satisfied,Converted
101137,80071,Male,Loyal Customer,39,Business travel,Business,181,0,5,0,1,2,4,4,5,5,5,5,5,5,5,0,0.0,satisfied,Converted
643,156654,Male,Loyal Customer,61,Personal Travel,Eco,731,5,5,5,2,1,5,1,1,1,2,5,3,5,1,0,0.0,satisfied,Converted
33916,93015,Female,Loyal Customer,53,Business travel,Eco,722,4,1,1,1,5,3,4,4,4,4,4,2,4,4,20,0.0,satisfied,Converted
43914,173836,Female,Loyal Customer,24,Personal Travel,Eco,407,4,2,4,4,3,4,5,3,1,1,3,4,3,3,0,0.0,satisfied,Converted
76661,112755,Female,Loyal Customer,20,Business travel,Eco,956,4,4,4,4,4,4,5,4,4,2,3,5,1,4,34,21.0,satisfied,Converted
48748,115249,Female,Loyal Customer,52,Business travel,Business,3624,4,4,4,4,1,3,4,5,5,5,5,2,5,5,30,25.0,satisfied,Converted
11553,194153,Male,disloyal Customer,16,Business travel,Eco,651,5,5,5,4,2,5,2,2,4,3,3,3,5,2,3,0.0,satisfied,Converted
808,95213,Female,Loyal Customer,22,Business travel,Eco,304,5,1,1,1,5,5,5,5,5,5,4,2,1,5,0,0.0,satisfied,Converted
91803,80681,Female,disloyal Customer,21,Business travel,Business,1201,5,4,5,1,2,5,1,2,4,5,5,3,4,2,22,25.0,satisfied,Converted
24418,107171,Female,Loyal Customer,34,Business travel,Business,3755,0,5,0,3,5,2,4,3,3,3,3,4,3,2,0,0.0,satisfied,Converted
88942,182355,Female,Loyal Customer,55,Business travel,Business,404,1,1,1,1,5,5,4,4,4,5,4,5,4,4,23,21.0,satisfied,Converted
2680,167521,Male,Loyal Customer,46,Business travel,Business,1069,1,1,1,1,3,5,4,5,5,5,5,4,5,5,16,18.0,satisfied,Not Converted
22363,114928,Male,Loyal Customer,24,Business travel,Eco Plus,624,4,4,4,4,4,3,4,5,3,4,2,4,4,4,202,216.0,satisfied,Converted
35910,81997,Male,Loyal Customer,41,Business travel,Business,1889,0,0,0,4,5,4,4,1,1,1,1,4,1,4,6,5.0,satisfied,Not Converted
4459,170601,Female,Loyal Customer,29,Business travel,Business,351,1,1,1,1,4,4,4,4,4,3,5,3,4,4,0,5.0,satisfied,Not Converted
83473,110796,Male,Loyal Customer,42,Business travel,Business,521,2,2,2,2,3,4,2,5,5,4,5,5,5,1,0,0.0,satisfied,Converted
40806,165797,Female,Loyal Customer,60,Business travel,Business,1582,0,0,0,2,2,4,5,3,3,3,3,5,3,5,0,0.0,satisfied,Converted
80117,118264,Male,Loyal Customer,50,Business travel,Business,2326,2,2,2,2,3,1,5,4,4,4,4,2,4,5,21,12.0,satisfied,Converted
90281,80539,Male,Loyal Customer,45,Business travel,Business,707,1,1,1,1,5,5,5,4,4,4,4,4,4,4,0,0.0,satisfied,Converted
56035,105487,Male,Loyal Customer,50,Business travel,Eco Plus,174,5,2,3,2,5,5,5,5,2,3,1,3,3,5,7,0.0,satisfied,Converted
48203,133535,Female,Loyal Customer,49,Business travel,Business,2565,4,4,4,4,3,5,5,5,5,5,5,5,5,3,0,0.0,satisfied,Converted
23573,143901,Male,Loyal Customer,44,Business travel,Business,929,1,1,1,1,2,4,5,4,4,4,4,4,4,3,0,0.0,satisfied,Converted
83287,183266,Male,Loyal Customer,53,Business travel,Business,1820,1,1,1,1,2,4,4,4,4,4,4,3,4,3,1,15.0,satisfied,Converted
15150,175893,Male,Loyal Customer,56,Business travel,Business,3081,4,4,4,4,4,5,5,4,4,4,4,5,4,3,0,0.0,satisfied,Not Converted
